库名,表名,路径,du B（不准确）,du TB,使用者,业务线,目录属主,目录属组,文件数量,分区格式,保留周期（天）,已配置TTL
report_tb,bigolive_yty_shower_pertime,/data/hive/report_tb.db/bigolive_yty_shower_pertime,954536870,0.04,yutianyu,,yutianyu,hdfs,,,,
report_tb,bigolive_yty_shower_viewer_perday,/data/hive/report_tb.db/bigolive_yty_shower_viewer_perday,802242432,3.255,yutianyu,,yutianyu,hdfs,,,,
report_tb,like_ru_id_hot_comment_candidate_list,/data/hive/report_tb.db/like_ru_id_hot_comment_candidate_list,-86819893,0.004,liyanli,,liyanli,hdfs,,,,
report_tb,video_arq_version_cover_swh,/data/hive/report_tb.db/video_arq_version_cover_swh,13788,0,sunweihong,,sunweihong,hdfs,,,,
report_tb,like_valid_dau_report,/data/hive/report_tb.db/like_valid_dau_report,37915419,0,liyanli,,liyanli,hdfs,,,,
report_tb,lyn_churn_svip_m1_prediction,/data/hive/report_tb.db/lyn_churn_svip_m1_prediction,36479283,0,lyn,,lyn,hdfs,,,,
report_tb,bigolive_lxf_svip_vn_month_report,/data/hive/report_tb.db/bigolive_lxf_svip_vn_month_report,53826366,0,liuxiaofei,,liuxiaofei,hdfs,,,,
report_tb,yo_22906_award_mysql_zpj,/data/hive/report_tb.db/yo_22906_award_mysql_zpj,1137609,0,zhongpeijun,,zhongpeijun,hdfs,,,,
report_tb,yo_22906_all_mysql_zpj,/data/hive/report_tb.db/yo_22906_all_mysql_zpj,157518,0,zhongpeijun,,zhongpeijun,hdfs,,,,
report_tb,yo_22906_order_mysql_zpj,/data/hive/report_tb.db/yo_22906_order_mysql_zpj,524820,0,zhongpeijun,,zhongpeijun,hdfs,,,,
report_tb,yo_22906_fragment_mysql_zpj,/data/hive/report_tb.db/yo_22906_fragment_mysql_zpj,1138953,0,zhongpeijun,,zhongpeijun,hdfs,,,,
report_tb,lyl_like_moment_tab_abtest_hdid_list_0618,/data/hive/report_tb.db/lyl_like_moment_tab_abtest_hdid_list_0618,,,lanqiangtai,,,,,,,
report_tb,bigolive_no_media_tech_data,/data/hive/report_tb.db/bigolive_no_media_tech_data,1376214,0,zhangyangjiang,,zhangyangjiang,hdfs,,,,
report_tb,wf_likee_video_machine_accuracy_zxt,/data/hive/report_tb.db/wf_likee_video_machine_accuracy_zxt,223647261,0,zhuoxueteng,,zhuoxueteng,hdfs,,,,
report_tb,bigolive_lx_official_website_uid,/data/hive/report_tb.db/bigolive_lx_official_website_uid,1987679036,0.017,lixue,,lixue,hdfs,,,,
report_tb,bigolive_lx_official_website_active_xingwei_for_web,/data/hive/report_tb.db/bigolive_lx_official_website_active_xingwei_for_web,896739120,0.001,lixue,,lixue,hdfs,,,,
report_tb,bigolive_lx_official_website_audience_for_web,/data/hive/report_tb.db/bigolive_lx_official_website_audience_for_web,162795117,0,lixue,,lixue,hdfs,,,,
report_tb,like_valid_dau_remain_report,/data/hive/report_tb.db/like_valid_dau_remain_report,147071907,0,liyanli,,liyanli,hdfs,,,,
report_tb,like_fcm_token_invalid_check_cmc,/data/hive/report_tb.db/like_fcm_token_invalid_check_cmc,,,chenmiaochun,,,,,,,
