目录,du B,du TB,文件数量,分区格式,保留周期（天）,已配置TTL,业务线,使用者,目录属主,目录属组,数据接入方式,离线/在线迁移,Client版本,迁移状态
/data/hive/indigo_mediate_tb.db/temp_vapour_story_sent_view,"2,451,190,000,000",2.229,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_uid_active_hour_day,"2,426,110,000,000",2.207,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_zhangxin8_biggroup_push_activelevel_categeory_day,"2,413,930,000,000",2.195,,,,,,,zhangxin8,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_story_sent_detail_day,"2,361,390,000,000",2.148,,,,,,,zhuangxiaoyi,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_feed_follow_push_uid,"2,330,310,000,000",2.119,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_lsf_single_content_consume_report,"2,295,200,000,000",2.087,,,,,,,luoshifa,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_jiangjing_worldfeed_dispatch_resourceid,"2,241,450,000,000",2.039,,,,,,,jiangjing,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_ad_users_info_mediate,"2,204,970,000,000",2.005,,,,,,,zoutianyu,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_detail_day_ksing_dau,"2,126,960,000,000",1.934,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_yunying_token_upload_test,"2,081,840,000,000",1.893,,,,,,,liuruokai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_yunying_bg_bucket_user_day6_mirror,"2,079,390,000,000",1.891,,,,,,,liuruokai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_feed_push_daoda_hour_new,"1,980,140,000,000",1.801,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_lmj_imo_out_taskcenter_uid_day,"1,973,170,000,000",1.795,,,,,,,limingjun,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_detail_day_ksing_uv,"1,956,540,000,000",1.779,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_active_uid_class_tmp,"1,956,110,000,000",1.779,,,,,,,panquanhai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_uid_story_detail_day,"1,915,520,000,000",1.742,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_worldfeed_follow_uid_all_orc_snap,"1,886,060,000,000",1.715,,,,,,,zhuangxiaoyi,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_huangxiaoyi_uid_login_last30day_day,"1,849,620,000,000",1.682,,,,,,,huangxiaoyi,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_yunying_no_push_ab_day,"1,820,900,000,000",1.656,,,,,,,liuruokai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_feeds_new_user_day,"1,776,440,000,000",1.616,,,,,,,panquanhai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_wyf_imouid_calltimes_day,"1,744,680,000,000",1.587,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_yunying_push_bg_user_all_day,"1,702,120,000,000",1.548,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_temp_active_uid_behavior,"1,698,540,000,000",1.545,,,,,,,panquanhai,hdfs,,,,
